timestamp,PPG
1669280779.8714256,1964
1669280779.8724234,1962
1669280779.873422,1954
1669280779.8964183,1948
1669280779.9464264,1927
1669280779.9474223,1931
1669280779.971417,1933
1669280779.97242,1932
1669280779.9734213,1936
1669280779.9964175,1939
1669280779.9974196,1938
1669280780.0214264,1935
1669280780.0224197,1929
1669280780.0254188,1921
1669280780.0464458,1914
1669280780.0474262,1904
1669280780.0714188,1895
1669280780.0964637,1891
1669280780.0974202,1892
1669280780.09842,1902
1669280780.100494,1919
1669280780.1214948,1945
1669280780.1224236,1974
1669280780.1234553,2001
1669280780.1684191,2031
1669280780.170421,2052
1669280780.1714199,2064
1669280780.1724195,2068
1669280780.1754198,2068
1669280780.200486,2064
1669280780.2014937,2057
1669280780.2214863,2046
1669280780.2224238,2031
1669280780.2234502,2021
1669280780.2464213,2007
1669280780.2474315,1993
1669280780.2714653,1980
1669280780.2724214,1968
1669280780.273421,1955
1669280780.296425,1943
1669280780.2974327,1930
1669280780.3215127,1922
1669280780.3224375,1919
1669280780.323425,1917
1669280780.3464181,1919
1669280780.3474216,1920
1669280780.3715181,1926
1669280780.3724442,1938
1669280780.3734238,1952
1669280780.3964531,1968
1669280780.403457,1980
1669280780.4214475,1988
1669280780.4224246,1991
1669280780.4234338,1992
1669280780.446469,1993
1669280780.4474545,1993
1669280780.4714186,1991
1669280780.4724214,1989
1669280780.496453,1989
1669280780.497458,1993
1669280780.4994411,1996
1669280780.5216205,1996
1669280780.5464222,1998
1669280780.5474238,1999
1669280780.5484223,1999
1669280780.550421,1995
1669280780.5714192,1983
1669280780.57242,1969
1669280780.5734203,1950
1669280780.5964224,1929
1669280780.597424,1913
1669280780.6254525,1903
1669280780.6264505,1888
1669280780.6474187,1872
1669280780.6714191,1878
1669280780.6724203,1892
1669280780.6974208,1952
1669280780.721425,1986
1669280780.7464256,2069
1669280780.7474253,2087
1669280780.771418,2100
1669280780.8084257,2087
1669280780.81042,2070
1669280780.8114188,2049
1669280780.8214185,2023
1669280780.8224235,1999
1669280780.8464212,1982
1669280780.8474267,1971
1669280780.8714206,1966
1669280780.8724384,1956
1669280780.8734214,1947
1669280780.8964226,1941
1669280780.8974354,1934
1669280780.9214218,1933
1669280780.9224243,1931
1669280780.9234498,1932
1669280780.946453,1940
1669280780.972422,1963
1669280780.9964993,1974
1669280781.0215902,1985
1669280781.0465877,1996
1669280781.0475883,1987
1669280781.0715885,1976
1669280781.0725913,1963
1669280781.0965889,1952
1669280781.1225955,1943
1669280781.1235921,1955
1669280781.146591,1966
1669280781.14759,1972
1669280781.1715922,1972
1669280781.1725907,1963
1669280781.197594,1920
1669280781.2215881,1910
1669280781.2225902,1908
1669280781.2235904,1915
1669280781.2475932,1931
1669280781.2486036,1953
1669280781.2715888,1983
1669280781.2725935,2012
1669280781.2735906,2037
1669280781.296623,2068
1669280781.2976203,2097
1669280781.3216197,2115
1669280781.3465922,2109
1669280781.3515985,2095
1669280781.3715937,2080
1669280781.3725948,2067
1669280781.3965921,2055
1669280781.3976104,2043
1669280781.4215941,2034
1669280781.4226155,2025
1669280781.423619,2015
1669280781.4246194,2005
1669280781.4485939,1994
1669280781.4505906,1982
1669280781.4715886,1974
1669280781.4725912,1966
1669280781.4965916,1952
1669280781.4976232,1946
1669280781.4986,1941
1669280781.5215888,1941
1669280781.522592,1945
1669280781.5465882,1948
1669280781.5475883,1953
1669280781.5485883,1953
1669280781.5715876,1950
1669280781.5725906,1951
1669280781.5966215,1953
1669280781.5975914,1951
1669280781.598689,1944
1669280781.6215906,1940
1669280781.622612,1938
1669280781.646588,1937
1669280781.6475892,1938
1669280781.6715894,1939
1669280781.6725929,1938
1669280781.6735919,1932
1669280781.6746383,1921
1669280781.696602,1909
1669280781.6976016,1893
1669280781.7215917,1872
1669280781.722587,1849
1669280781.723622,1830
1669280781.7465932,1810
1669280781.747593,1797
1669280781.77159,1790
1669280781.7725892,1790
1669280781.7735896,1795
1669280781.7965899,1809
1669280781.7977755,1829
1669280781.8215919,1853
1669280781.8225965,1881
1669280781.8236241,1918
1669280781.8465877,1957
1669280781.847588,1997
1669280781.8715994,2026
1669280781.8726268,2047
1669280781.8965902,2060
1669280781.897621,2066
1669280781.8995967,2070
1669280781.9235961,2062
1669280781.9465878,2051
1669280781.9475896,2037
1669280781.9966278,2002
1669280782.0215952,1991
1669280782.0225968,1978
1669280782.0236254,1966
1669280782.0255923,1959
1669280782.046588,1957
1669280782.0475922,1961
1669280782.0955958,1982
1669280782.0965943,1973
1669280782.0975902,1955
1669280782.121611,1926
1669280782.1225884,1885
1669280782.1465898,1837
1669280782.1715918,1693
1669280782.172594,1652
1669280782.1745882,1619
1669280782.196592,1590
1669280782.20459,1568
1669280782.2215924,1557
1669280782.222592,1559
1669280782.2475948,1639
1669280782.2715945,1668
1669280782.2725954,1697
1669280782.298592,1803
1669280782.3215883,1842
1669280782.3465903,1959
1669280782.3475878,1996
1669280782.371588,2030
1669280782.3975906,2178
1669280782.4215908,2208
1669280782.4225903,2228
1669280782.4465938,2242
1669280782.4475904,2249
1669280782.448593,2247
1669280782.4715896,2233
1669280782.472591,2206
1669280782.4985914,2174
1669280782.5006623,2141
1669280782.501649,2105
1669280782.5215936,2073
1669280782.5226212,2040
1669280782.5465996,2016
1669280782.5475929,2001
1669280782.5725985,1998
1669280782.5966253,2000
1669280782.5976489,1998
1669280782.64659,1954
1669280782.6475954,1944
1669280782.6485972,1941
1669280782.671595,1943
1669280782.6726213,1946
1669280782.6966248,1951
1669280782.6976116,1956
1669280782.731649,1957
1669280782.732651,1960
1669280782.733621,1965
1669280782.735649,1975
1669280782.7375913,1982
1669280782.7716043,1983
1669280782.7726195,1975
1669280782.7736194,1967
1669280782.775588,1964
1669280782.796594,1964
1669280782.7976623,1961
1669280782.8215957,1954
1669280782.8226197,1940
1669280782.8465922,1920
1669280782.8716009,1820
1669280782.8725934,1793
1669280782.89659,1771
1669280782.8976622,1760
1669280782.8986828,1765
1669280782.9215975,1783
1669280782.9226236,1809
1669280782.9465973,1851
1669280782.9476216,1899
1669280782.9486227,1947
1669280782.9715898,1991
1669280782.9725897,2033
1669280782.9967716,2071
1669280782.9977722,2103
1669280782.9995914,2124
1669280783.021642,2131
1669280783.0225945,2122
1669280783.0465922,2108
1669280783.0475905,2088
1669280783.0485954,2063
1669280783.07159,2034
1669280783.0968373,2003
1669280783.0977705,1977
1669280783.099596,1957
1669280783.1007893,1942
1669280783.1216147,1929
1669280783.1225913,1915
1669280783.1466293,1906
1669280783.1475904,1901
1669280783.1485925,1900
1669280783.17159,1903
1669280783.172589,1905
1669280783.196591,1904
1669280783.1977322,1907
1669280783.1995895,1908
1669280783.2215912,1903
1669280783.2226262,1901
1669280783.2307763,1901
1669280783.2715974,1912
1669280783.2725918,1913
1669280783.2985902,1897
1669280783.3215904,1893
1669280783.322593,1884
1669280783.3705878,1872
1669280783.3715909,1867
1669280783.3726163,1859
1669280783.3965888,1856
1669280783.3975883,1854
1669280783.398586,1848
1669280783.4215868,1845
1669280783.4475908,1831
1669280783.452587,1830
1669280783.4715915,1830
1669280783.4965868,1831
1669280783.497587,1833
1669280783.4985876,1844
1669280783.5006015,1859
1669280783.5215917,1883
1669280783.52259,1905
1669280783.5465887,1927
1669280783.5475886,1945
1669280783.5485878,1963
1669280783.5715904,1980
1669280783.57259,2000
1669280783.5966196,2015
1669280783.5976553,2025
1669280783.5985916,2029
1669280783.6215913,2029
1669280783.622619,2016
1669280783.646598,2002
1669280783.6475925,1992
1669280783.6725907,1967
1669280783.6965973,1954
1669280783.697626,1938
1669280783.6985953,1923
1669280783.7215884,1910
1669280783.746591,1898
1669280783.747591,1896
1669280783.7735906,1921
1669280783.7966225,1922
1669280783.79759,1923
1669280783.798646,1919
1669280783.8218699,1918
1669280783.8228655,1913
1669280783.8718374,1881
1669280783.8728385,1873
1669280783.9228377,1853
1669280783.9468336,1857
1669280783.947835,1858
1669280783.9488351,1857
1669280783.971836,1854
1669280784.0098357,1840
1669280784.0118418,1836
1669280784.0128376,1833
1669280784.0468364,1835
1669280784.0478373,1843
1669280784.0488372,1852
1669280784.0498347,1861
1669280784.0788383,1875
1669280784.0968385,1870
1669280784.1048384,1860
1669280784.121841,1857
1669280784.1228373,1858
1669280784.14684,1866
1669280784.1478364,1880
1669280784.1488402,1900
1669280784.171839,1923
1669280784.1728673,1945
1669280784.1968505,1963
1669280784.221839,1979
1669280784.2228665,1987
1669280784.2238643,1986
1669280784.2248397,1976
1669280784.2468343,1962
1669280784.2478333,1944
1669280784.2488396,1929
1669280784.2718375,1912
1669280784.272845,1897
1669280784.2970076,1882
1669280784.2979066,1863
1669280784.298851,1846
1669280784.3218415,1836
1669280784.3228662,1826
1669280784.3468387,1822
1669280784.347871,1822
1669280784.3488395,1829
1669280784.37184,1835
1669280784.3728662,1836
1669280784.4008403,1828
1669280784.4218507,1825
1669280784.422856,1822
1669280784.4468374,1819
1669280784.4478424,1813
1669280784.4718354,1808
1669280784.47287,1806
1669280784.4758518,1811
1669280784.4998348,1820
1669280784.501895,1829
1669280784.5028949,1836
1669280784.521835,1841
1669280784.5228677,1846
1669280784.5468354,1850
1669280784.5478344,1855
1669280784.5488334,1857
1669280784.596907,1863
1669280784.5978887,1871
1669280784.5988357,1874
1669280784.6488364,1844
1669280784.649838,1832
1669280784.6518395,1819
1669280784.6718388,1810
1669280784.6728365,1802
1669280784.6969025,1792
1669280784.697888,1786
1669280784.7228432,1787
1669280784.7468357,1790
1669280784.7478352,1800
1669280784.7488394,1814
1669280784.7718372,1834
1669280784.7728379,1858
1669280784.7968326,1884
1669280784.8218381,1940
1669280784.822836,1942
1669280784.8468356,1939
1669280784.8718517,1886
1669280784.8728387,1861
1669280784.8968344,1833
1669280784.8978357,1803
1669280784.8988326,1789
1669280784.9228346,1784
1669280784.923833,1783
1669280784.948839,1818
1669280784.9718373,1837
1669280784.9728374,1851
1669280784.9968665,1866
1669280784.9978347,1870
1669280785.0238645,1869
1669280785.0248349,1871
1669280785.0478425,1872
1669280785.071866,1870
1669280785.072848,1865
1669280785.096871,1860
1669280785.0978367,1848
1669280785.1218646,1838
1669280785.1228697,1832
1669280785.1238394,1831
1669280785.1468332,1825
1669280785.1478338,1815
1669280785.1488466,1812
1669280785.1718671,1810
1669280785.1728332,1811
1669280785.1969082,1814
1669280785.1979082,1815
1669280785.2228408,1812
1669280785.2468362,1819
1669280785.247838,1823
1669280785.2898405,1813
1669280785.2918384,1806
1669280785.2928374,1799
1669280785.3218377,1801
1669280785.346853,1818
1669280785.3478365,1830
1669280785.3488348,1844
1669280785.3718455,1857
1669280785.372834,1865
1669280785.3968322,1870
1669280785.3978362,1879
1669280785.3988369,1891
1669280785.421835,1906
1669280785.422834,1919
1669280785.4468343,1922
1669280785.4478364,1913
1669280785.4488351,1900
1669280785.4718409,1884
1669280785.4728374,1871
1669280785.496901,1855
1669280785.4979024,1839
1669280785.5218658,1825
1669280785.5228703,1811
1669280785.5468335,1798
1669280785.5478368,1786
1669280785.5529196,1778
1669280785.5538402,1777
1669280785.5718703,1780
1669280785.5728452,1784
1669280785.5968382,1788
1669280785.5979218,1793
1669280785.5988429,1802
1669280785.621865,1814
1669280785.622865,1824
1669280785.646838,1832
1669280785.6478333,1834
1669280785.6488354,1830
1669280785.69689,1825
1669280785.6980186,1823
1669280785.698859,1822
1669280785.721838,1819
1669280785.7228405,1816
1669280785.746837,1816
1669280785.747848,1813
1669280785.7488363,1807
1669280785.7718706,1805
1669280785.7728655,1803
1669280785.7969165,1803
1669280785.8218646,1809
1669280785.8228672,1816
1669280785.8238356,1822
1669280785.8248656,1822
1669280785.846835,1821
1669280785.8478425,1816
1669280785.8588393,1807
1669280785.871836,1799
1669280785.8728685,1790
1669280785.8968349,1779
1669280785.8978677,1772
1669280785.8988676,1771
1669280785.9288394,1781
1669280785.9298408,1800
1669280785.9318879,1824
1669280785.9468648,1851
1669280785.9488373,1874
1669280785.972836,1894
1669280785.9738343,1902
1669280785.9988408,1899
1669280786.0218604,1891
1669280786.0228746,1881
1669280786.0468335,1869
1669280786.047835,1861
1669280786.0488355,1854
1669280786.071834,1852
1669280786.0978684,1834
1669280786.0989032,1828
1669280786.121835,1821
1669280786.1488466,1809
1669280786.1718657,1810
1669280786.1728387,1814
1669280786.1968653,1825
1669280786.1978369,1832
1669280786.2218645,1838
1669280786.2468379,1861
1669280786.2478333,1858
1669280786.2528367,1857
1669280786.2718647,1858
1669280786.2969072,1857
1669280786.297907,1858
1669280786.2988367,1858
1669280786.3228424,1855
1669280786.3468392,1852
1669280786.3478382,1850
1669280786.3488371,1845
1669280786.3718371,1840
1669280786.3728354,1833
1669280786.398836,1828
1669280786.4218354,1820
1669280786.422836,1825
1669280786.4468338,1829
1669280786.472835,1886
1669280786.4968338,1900
1669280786.4978325,1909
1669280786.4998415,1916
1669280786.5218353,1921
1669280786.5228345,1923
1669280786.5688512,1923
1669280786.5698357,1919
1669280786.5718343,1913
1669280786.5728338,1907
1669280786.5738337,1901
1669280786.5968475,1891
1669280786.597847,1871
1669280786.6218708,1850
1669280786.6228695,1834
1669280786.6478398,1804
1669280786.6718357,1799
1669280786.6728365,1799
1669280786.6738358,1799
1669280786.6968908,1801
1669280786.6978886,1806
1669280786.7218652,1810
1669280786.7468398,1814
1669280786.7478387,1813
1669280786.7488384,1807
1669280786.7498362,1803
1669280786.7528348,1798
1669280786.7718418,1792
1669280786.7728665,1787
1669280786.7969067,1784
1669280786.797908,1784
1669280786.7989147,1786
1669280786.8228705,1790
1669280786.8238373,1794
1669280786.846834,1801
1669280786.847834,1807
1669280786.8488376,1813
1669280786.8718674,1817
1669280786.87287,1814
1669280786.8969014,1811
1669280786.8979077,1809
1669280786.8989046,1800
1669280786.9238653,1787
1669280786.9248378,1772
1669280786.9468353,1761
1669280786.9478374,1757
1669280786.9488366,1757
1669280786.9718342,1764
1669280786.9728365,1774
1669280786.9968944,1789
1669280787.0218384,1806
1669280787.022848,1826
1669280787.0278718,1845
1669280787.0288358,1863
1669280787.046838,1877
1669280787.0478377,1890
1669280787.0488372,1897
1669280787.0718377,1895
1669280787.0728393,1890
1669280787.0988855,1877
1669280787.1218684,1869
1669280787.1228569,1859
1669280787.146845,1848
1669280787.147833,1839
1669280787.1718614,1836
1669280787.1728673,1832
1669280787.1738634,1832
1669280787.2088437,1834
1669280787.210838,1836
1669280787.2118428,1835
1669280787.2128353,1830
1669280787.2468362,1823
1669280787.247838,1814
1669280787.248836,1806
1669280787.2718666,1801
1669280787.2968495,1794
1669280787.2978444,1787
1669280787.2988443,1779
1669280787.3218367,1775
1669280787.3228385,1777
1669280787.3468337,1786
1669280787.3478348,1793
1669280787.3728375,1818
1669280787.396836,1823
1669280787.3978367,1827
1669280787.422837,1831
1669280787.4468362,1840
1669280787.4728434,1878
1669280787.473838,1884
1669280787.496363,1886
1669280787.522362,1880
1669280787.5243633,1875
1669280787.5483613,1869
1669280787.5493662,1870
1669280787.5713632,1878
1669280787.5723603,1887
1669280787.5743692,1891
1669280787.5963612,1891
1669280787.5973604,1886
