timestamp,PPG
1669285064.7485986,1835
1669285064.7495983,1898
1669285064.7715993,1954
1669285064.7735972,1995
1669285064.7965977,2021
1669285064.798604,2032
1669285064.7996063,2022
1669285064.8215997,1993
1669285064.8236,1950
1669285064.847601,1896
1669285064.8486133,1833
1669285064.8496087,1770
1669285064.8726208,1712
1669285064.8736317,1663
1669285064.9006972,1620
1669285064.9016008,1589
1669285064.9035985,1562
1669285064.9215987,1547
1669285064.9235983,1539
1669285064.9476662,1538
1669285064.9486055,1549
1669285064.9496276,1564
1669285064.9725988,1584
1669285064.9736333,1602
1669285065.001598,1618
1669285065.0026007,1638
1669285065.0035985,1665
1669285065.0225968,1699
1669285065.0236008,1731
1669285065.0476658,1762
1669285065.0726085,1784
1669285065.0736368,1796
1669285065.0746322,1803
1669285065.0988708,1803
1669285065.0997827,1801
1669285065.100787,1800
1669285065.1026018,1794
1669285065.121599,1785
1669285065.1235986,1777
1669285065.1476676,1771
1669285065.148674,1768
1669285065.1495988,1765
1669285065.1725965,1767
1669285065.173614,1768
1669285065.1965964,1770
1669285065.1987967,1764
1669285065.1997857,1759
1669285065.2215989,1754
1669285065.2236333,1752
1669285065.2476666,1749
1669285065.2486696,1741
1669285065.2496705,1736
1669285065.2976,1727
1669285065.2986007,1728
1669285065.3226001,1725
1669285065.3475966,1701
1669285065.3486602,1686
1669285065.3495984,1671
1669285065.3716013,1670
1669285065.3735986,1689
1669285065.397597,1748
1669285065.3985975,1855
1669285065.423606,2486
1669285065.4475963,2744
1669285065.4486592,2975
1669285065.4496589,3160
1669285065.4716313,3282
1669285065.473632,3326
1669285065.4966364,3294
1669285065.5236008,2829
1669285065.5246017,2600
1669285065.5475967,2363
1669285065.5486584,2130
1669285065.5496724,1919
1669285065.5725987,1737
1669285065.5736299,1589
1669285065.5975966,1479
1669285065.5986583,1400
1669285065.5996726,1349
1669285065.6256368,1324
1669285065.6275966,1319
1669285065.648603,1431
1669285065.6716,1496
1669285065.673606,1570
1669285065.697597,1653
1669285065.6996722,1740
1669285065.742597,1823
1669285065.7436328,1900
1669285065.7445977,1964
1669285065.7457008,2016
1669285065.7476223,2049
1669285065.7726004,2059
1669285065.7736323,2047
1669285065.7746255,2016
1669285065.7976968,1970
1669285065.7987936,1909
1669285065.799781,1842
1669285065.8216045,1775
1669285065.8236141,1709
1669285065.8476002,1653
1669285065.8486354,1606
1669285065.8496134,1573
1669285065.8725965,1552
1669285065.873633,1542
1669285065.89761,1535
1669285065.898634,1530
1669285065.9436,1544
1669285065.9506,1560
1669285065.9516003,1578
1669285065.9736006,1633
1669285065.997597,1645
1669285065.998634,1653
1669285065.9995978,1659
1669285066.022599,1664
1669285066.0235996,1667
1669285066.0506005,1673
1669285066.072598,1706
1669285066.0736032,1725
1669285066.0976012,1743
1669285066.0985973,1759
1669285066.1215978,1768
1669285066.1236014,1770
1669285066.1466057,1771
1669285066.1526043,1770
1669285066.1536012,1765
1669285066.1545992,1754
1669285066.172601,1742
1669285066.173629,1728
1669285066.196598,1712
1669285066.198673,1696
1669285066.1996744,1680
1669285066.222599,1670
1669285066.2235992,1663
1669285066.2476034,1663
1669285066.248642,1668
1669285066.2496328,1684
1669285066.272607,1718
1669285066.2736332,1787
1669285066.2975993,1899
1669285066.2987883,2058
1669285066.2997837,2260
1669285066.3215983,2482
1669285066.3236039,2703
1669285066.3477168,2899
1669285066.3486173,3052
1669285066.3516316,3146
1669285066.3823338,3169
1669285066.38314,3116
1669285066.3841295,3002
1669285066.3971796,2840
1669285066.4221277,2643
1669285066.423126,2422
1669285066.425126,2187
1669285066.4473197,1964
1669285066.448179,1763
1669285066.4501283,1599
1669285066.4721606,1475
1669285066.4731615,1387
1669285066.4976363,1331
1669285066.4986298,1301
1669285066.4994416,1292
1669285066.5224395,1305
1669285066.5476308,1336
1669285066.5485096,1378
1669285066.549639,1432
1669285066.5724492,1496
1669285066.5734646,1573
1669285066.5744824,1659
1669285066.597624,1746
1669285066.5986285,1831
1669285066.5996237,1910
1669285066.6224651,1976
1669285066.6234655,2023
1669285066.649454,2052
1669285066.6754398,2027
1669285066.677461,1985
1669285066.6984377,1806
1669285066.722442,1745
1669285066.723438,1689
1669285066.747487,1642
1669285066.748502,1601
1669285066.7504811,1570
1669285066.7724395,1549
1669285066.7974412,1536
1669285066.798488,1542
1669285066.8224418,1552
1669285066.8234441,1563
1669285066.847494,1575
1669285066.8484385,1588
1669285066.849499,1602
1669285066.8724682,1623
1669285066.8734686,1642
1669285066.8975015,1660
1669285066.9224389,1678
1669285066.923438,1692
1669285066.9244382,1702
1669285066.925437,1713
1669285066.9474392,1726
1669285066.9484694,1730
1669285066.9734557,1730
1669285067.018443,1732
1669285067.01944,1730
1669285067.0474393,1718
1669285067.0484426,1706
1669285067.0494432,1696
1669285067.0724645,1684
1669285067.07344,1669
1669285067.0974388,1656
1669285067.1234407,1630
1669285067.1474366,1655
